,station,start_date,end_date,tree_size,nmbr_trees,shingle_size,cod_threshold,mcc,calc_nmbr,phase,r_time,a_type
582,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,100,5,590,0.0,25887093,1,175.63725072145462,StationDif
583,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,20000,150,3,360,0.08514478866317274,6472209,3,774.1016275684037,StationDif
584,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,20000,150,5,430,0.08362180118726703,29113859,3,795.3584474643071,StationDif
585,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,150,1,590,0.0,8544849,1,121.54618516365689,StationDif
586,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,150,3,590,0.0,51044066,1,137.95292251904806,StationDif
587,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,15000,100,1,590,0.0,98318404,1,315.4007690588633,StationDif
588,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,200,1,580,0.17393833808147488,34551627,3,660.6146236379941,StationDif
589,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,15000,100,3,590,0.0,90796284,1,335.47168811559675,StationDif
590,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,150,5,590,0.0,4134255,1,139.8109721541405,StationDif
591,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,200,3,260,0.07899128206017063,62257570,3,688.1605940500896,StationDif
592,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,15000,100,5,590,0.0,91375791,1,349.8683034141858,StationDif
593,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,15000,200,5,330,0.07399417626777773,14584678,3,735.4718853632608,StationDif
594,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,20000,100,3,590,0.0,10015029,1,430.1727720181147,StationDif
595,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,200,1,590,0.0,89394969,1,151.88715918064116,StationDif
596,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,150,1,590,0.0,76050859,1,254.36429813305537,StationDif
597,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,20000,100,1,590,0.0,44628088,1,485.7128134091696,StationDif
598,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,200,3,590,0.0,97803756,1,177.45350716114044,StationDif
599,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,150,3,590,0.0,82013289,1,272.3824510574341,StationDif
600,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,150,5,590,0.0,77089172,1,269.5504661043485,StationDif
601,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,20000,100,5,590,0.0,33678503,1,516.8793202916781,StationDif
602,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,5000,200,5,590,0.0,30806733,1,176.1185691475868,StationDif
603,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,15000,150,1,590,0.0,96227933,1,498.07165804704033,StationDif
604,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,15000,150,3,590,0.0,66513040,1,502.65597743988036,StationDif
605,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,200,1,590,0.0,50883118,1,334.3819476882617,StationDif
606,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,5000,100,1,590,0.3330665198765347,74293113,2,31.2017908334732,time_passed
607,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,15000,150,5,590,0.0,65089008,1,521.0842526634534,StationDif
608,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,200,3,590,0.0,73945224,1,369.00061115026466,StationDif
609,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,10000,200,5,590,0.0,38350702,1,388.505469028155,StationDif
610,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,10000,100,1,590,0.3083133401431305,38214957,2,75.75339440902074,time_passed
611,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,5000,100,3,590,0.2883573694148883,82403640,2,90.29540362755456,time_passed
612,NW000000000000000000000NBSNST0928,2017-09-17 00:00:00,,20000,200,5,420,0.082460035982569,48801108,3,1079.0821676890055,StationDif
613,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,5000,100,5,590,0.2496246619843092,81631590,2,95.92072517474493,time_passed
614,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,10000,100,3,590,0.2336780928791493,59703187,2,185.76096874475482,time_passed
615,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,15000,100,1,590,0.31205842518292265,87093966,2,138.84581636190416,time_passed
616,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,10000,100,5,590,0.2275047540439897,47500113,2,183.77345470190048,time_passed
617,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,5000,150,1,590,0.3330665198765347,8063024,2,47.617474055290224,time_passed
618,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,20000,150,1,590,0.0,84052560,1,750.1645069440207,StationDif
619,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,20000,150,5,590,0.0,21824705,1,731.1740664045017,StationDif
620,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,20000,150,3,590,0.0,29904569,1,770.6146218776703,StationDif
621,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,15000,200,1,590,0.0,47910157,1,613.47301851511,StationDif
622,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,5000,150,3,590,0.27701702807228185,78642458,2,135.8549993356069,time_passed
623,NW00000000000BISMARKSTRASSNV01035,2017-09-18 00:00:00,,15000,200,3,590,0.0,77140819,1,636.4043424328169,StationDif
624,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,10000,150,1,590,0.2978365983710409,95414519,2,114.71042422453564,time_passed
625,NW00000000000000BISMARKSTRNV00993,2017-07-22 00:00:00,,5000,150,5,590,0.2622580454621037,37172938,2,137.52620651721955,time_passed
